song_id,score|1,score|2,score|3,score|4,eval_score,storytelling
107,5.575,5.4,4.35,5.425,5.575,UNK
108,5.769230769230769,5.846153846153846,4.128205128205129,5.794871794871795,5.769230769230769,Yes
115,5.128205128205129,5.230769230769231,4.153846153846154,5.076923076923077,5.128205128205129,UNK
117,5.394736842105263,5.5,4.973684210526316,5.184210526315789,5.394736842105263,UNK
123,5.658536585365853,5.390243902439025,4.609756097560975,5.317073170731708,5.658536585365853,Yes
127,5.55,5.725,4.95,5.475,5.55,UNK
132,5.7894736842105265,5.605263157894737,3.6842105263157894,5.657894736842105,5.7894736842105265,Yes
138,5.717948717948718,5.641025641025641,4.487179487179487,5.794871794871795,5.717948717948718,Yes
139,5.75,5.425,5.225,5.425,5.75,Yes
140,4.769230769230769,5.230769230769231,4.0,4.564102564102564,4.769230769230769,No
141,6.0,6.076923076923077,4.0256410256410255,5.871794871794871,6.0,Yes
149,5.435897435897436,5.3076923076923075,4.3076923076923075,5.384615384615385,5.435897435897436,UNK
156,5.864864864864865,5.486486486486487,4.864864864864865,5.486486486486487,5.864864864864865,Yes
157,4.975,5.225,4.475,5.125,4.975,No
166,5.3076923076923075,5.282051282051282,4.846153846153846,5.128205128205129,5.3076923076923075,UNK
168,5.15,4.825,4.525,4.95,5.15,UNK
170,5.375,5.125,3.975,5.525,5.375,UNK
174,5.743589743589744,5.743589743589744,4.589743589743589,5.512820512820513,5.743589743589744,Yes
176,5.275,5.5,4.55,5.45,5.275,UNK
18,5.6,5.475,4.825,5.6,5.6,UNK
181,5.275,5.075,4.6,5.15,5.275,UNK
185,5.324324324324325,5.72972972972973,4.864864864864865,5.405405405405405,5.324324324324325,UNK
186,5.1,5.325,4.2,5.075,5.1,UNK
195,5.073170731707317,4.7560975609756095,4.317073170731708,4.7560975609756095,5.073170731707317,UNK
201,4.85,4.7,4.85,4.675,4.85,No
21,5.7631578947368425,5.394736842105263,4.815789473684211,5.605263157894737,5.7631578947368425,Yes
212,5.3076923076923075,5.435897435897436,4.6923076923076925,5.333333333333333,5.3076923076923075,UNK
215,5.275,5.475,4.3,5.05,5.275,UNK
219,5.560975609756097,5.219512195121951,4.7073170731707314,5.170731707317073,5.560975609756097,UNK
227,4.923076923076923,5.0,4.358974358974359,4.846153846153846,4.923076923076923,No
238,5.17948717948718,4.923076923076923,4.846153846153846,5.0,5.17948717948718,UNK
24,5.230769230769231,5.3076923076923075,4.512820512820513,5.230769230769231,5.230769230769231,UNK
247,5.552631578947368,5.447368421052632,4.815789473684211,5.605263157894737,5.552631578947368,UNK
261,5.051282051282051,4.769230769230769,5.153846153846154,5.0256410256410255,5.051282051282051,UNK
266,5.105263157894737,5.157894736842105,4.5,4.842105263157895,5.105263157894737,UNK
272,5.594594594594595,5.4324324324324325,4.783783783783784,5.594594594594595,5.594594594594595,UNK
277,5.6,5.4,4.45,5.5,5.6,UNK
279,5.048780487804878,5.390243902439025,4.634146341463414,5.170731707317073,5.048780487804878,UNK
281,5.384615384615385,5.461538461538462,4.256410256410256,5.358974358974359,5.384615384615385,UNK
285,4.875,4.5,3.725,4.85,4.875,No
291,5.0,4.846153846153846,5.128205128205129,4.6923076923076925,5.0,No
292,4.829268292682927,5.341463414634147,4.560975609756097,4.7560975609756095,4.829268292682927,No
299,5.128205128205129,5.230769230769231,4.743589743589744,5.076923076923077,5.128205128205129,UNK
302,5.368421052631579,5.105263157894737,4.157894736842105,5.2631578947368425,5.368421052631579,UNK
308,5.461538461538462,4.82051282051282,5.333333333333333,5.0256410256410255,5.461538461538462,UNK
309,5.15,5.05,4.875,5.225,5.15,UNK
311,4.897435897435898,5.153846153846154,4.666666666666667,5.0,4.897435897435898,No
313,5.054054054054054,5.594594594594595,4.702702702702703,5.4324324324324325,5.054054054054054,UNK
315,4.725,4.6,4.975,4.55,4.725,No
321,5.024390243902439,5.097560975609756,4.487804878048781,5.0,5.024390243902439,UNK
325,5.414634146341464,5.219512195121951,4.609756097560975,4.975609756097561,5.414634146341464,UNK
33,5.073170731707317,5.2926829268292686,4.073170731707317,5.195121951219512,5.073170731707317,UNK
332,5.25,5.1,4.725,5.05,5.25,UNK
